Année,Numéro,Département,Code INSEE,Nom de la commune,Date de première alerte,Surface parcourue (m2),Surface forêt (m2),Surface maquis garrigues (m2),Autres surfaces naturelles hors forêt (m2),Surfaces agricoles (m2),Autres surfaces (m2),Surface autres terres boisées (m2),Surfaces non boisées naturelles (m2),Surfaces non boisées artificialisées (m2),Surfaces non boisées (m2),Précision des surfaces,Type de peuplement,Nature,Décès ou bâtiments touchés,Nombre de décès,Nombre de bâtiments totalement détruits,Nombre de bâtiments partiellement détruits,Précision de la donnée
2024,27145,64,64320,Laruns,2024-02-07 15:13:00,244000,15300,,228700,0,0,,,,,Estimées,,Involontaire (travaux),Oui,1,0,0,
2024,20559,11,11265,Niort-de-Sault,2024-02-07 19:36:00,8100,7900,0,0,200,0,,,,,Mesurées,3,,Non,,,,
2024,360,6,6050,Coursegoules,2024-02-08 11:35:00,700,0,700,0,0,0,,,,,Estimées,,,Non,,,,
2024,398,2B,2B352,Ville-di-Paraso,2024-02-08 12:10:00,6000,0,6000,0,0,0,,,,,Estimées,,,Non,,,,
2024,19308,13,13001,Aix-en-Provence,2024-02-08 13:11:00,20,0,20,0,0,0,,,,,Estimées,1,,Non,,,,
2024,394,2B,2B242,Poggio-Mezzana,2024-02-08 13:12:00,60000,0,60000,0,0,0,,,,,Estimées,1,,Non,,,,
2024,478,34,34056,Castelnau-de-Guers,2024-02-08 13:56:00,18366,0,18366,0,0,0,,,,,Mesurées,1,Malveillance,Non,,,,
2024,28718,7,7286,Saint-Pierreville,2024-02-08 14:12:00,1,1,0,0,0,0,,,,,Estimées,3,Naturelle,Non,,,,
2024,558,6,6156,Venanson,2024-02-08 15:35:00,83200,44300,38800,52,0,48,,,,,Mesurées,5,Malveillance,Non,,,,
2024,560,6,6156,Venanson,2024-02-08 15:35:00,14000,4700,9300,0,0,0,,,,,Mesurées,5,Malveillance,Non,,,,
2024,559,6,6156,Venanson,2024-02-08 15:35:00,79333,26290,53000,43,0,0,,,,,Mesurées,1,Malveillance,Non,,,,
2024,19042,48,48144,Sainte-Croix-Vallée-Française,2024-02-08 16:50:00,20200,19800,400,0,0,0,,,,,Mesurées,5,Involontaire (particulier),,,,,Données partielles ou non valides
2024,28675,7,7200,Le Roux,2024-02-08 17:20:00,50000,0,50000,0,0,0,,,,,Estimées,1,Involontaire (travaux),Non,,,,
2024,19043,48,48098,Molezon,2024-02-08 17:55:00,4500,500,0,4000,0,0,,,,,Estimées,1,Involontaire (particulier),Non,,,,
2024,19307,13,13059,Meyrargues,2024-02-08 18:07:00,40,0,40,0,0,0,,,,,Estimées,1,,Non,,,,
2024,473,34,34214,Pouzolles,2024-02-08 18:27:00,14903,0,14903,0,0,0,,,,,Mesurées,1,Malveillance,Non,,,,
2024,396,2B,2B179,Novale,2024-02-08 18:31:00,10000,0,10000,0,0,0,,,,,Estimées,1,,Non,,,,
2024,27214,2A,2A041,Bonifacio,2024-02-08 18:43:00,1000,0,1000,0,0,0,,,,,Mesurées,,,Non,,,,
2024,29623,25,25321,Villers-le-Lac,2024-02-08 21:17:57,100,100,,0,0,0,,,,,Estimées,,,Non,0,0,0,
2024,19131,13,13055,Marseille,2024-02-09 03:25:00,50,0,50,0,0,0,,,,,Estimées,1,,Non,,,,
